field_key,field_name,recommended_type
resort_name,Ski Resort Name,Single Line
website,Website,Website
zip_code,Resort ZIP Code,Single Line
operating_months,Operating Months,Single Line
snowmaking,Snowmaking Capability,Dropdown
resort_type,Resort Type,Dropdown
revenue_products,Revenue Products,Multi Line
target_markets,Primary Feeder Markets,Multi Line
feeder_population,Feeder Market Population,Number
feeder_households,Feeder Market Households,Number
affluent_share,Affluent Share Assumption,Number
ski_participation_rate,Winter Sports Participation Rate,Number
drive_market_share,Drive Market Relevance,Number
drive_time,Typical Guest Drive Time,Dropdown
competitors,Named Competitors,Multi Line
campaign_objective,Campaign Objective,Dropdown
monthly_budget,Monthly Advertising Budget,Number
booking_window,Booking Window,Dropdown
current_media,Current Paid Media,Single Line
offers_constraints,Offers and Constraints,Multi Line
exclusions,Exclusions and Notes,Multi Line
contact_name,Contact Name,Contact Name
contact_email,Contact Email,Contact Email
contact_phone,Contact Phone,Contact Phone
contact_role,Contact Role,Single Line
weather_marketing_readiness_score,Weather Marketing Readiness Score,Number
estimated_targetable_pool,Estimated Targetable Pool,Number
recommended_monthly_budget,Monthly Advertising Budget,Number
resort_location_resolved,Resolved Resort Location,Single Line
report_json,Ski Resort Report JSON,Multi Line
source,Lead Source,Single Line
generated_at,Report Generated At,Date/Time
season_start_month,Season Start Month,Number
season_end_month,Season End Month,Number
ski_household_rate,Skiing Household Rate,Number
persons_per_household,Persons Per Household,Number
minimum_activation_share,Minimum Activation Share,Number
estimated_targeted_skiing_households,Estimated Targeted Skiing Households,Number
estimated_budget_protected,Estimated Budget Protected,Number
estimated_budget_protected_percent,Estimated Budget Protected Percent,Number
base_elevation_ft,Base Elevation (ft),Number
summit_elevation_ft,Summit Elevation (ft),Number
resort_latitude,Resort Latitude,Single Line
resort_longitude,Resort Longitude,Single Line
weather_marketing_readiness_band,Weather Readiness Band,Single Line
media_lead_days,Media Lead Days,Number
forecast_activation_days,Forecast Activation Days (16-day),Number
